tax	numbers	balanced accuracy	AUC	AP	round
Bacteroidetes	855	0.9628588291227438	0.9882699149138482	0.9955636575094515	16
Proteobacteria	3200	0.8180282555282555	0.9242430059191423	0.9869849552088752	16
Alphaproteobacteria	981	0.5696865037194474	0.8408873538788522	0.9870918891557358	16
Betaproteobacteria	526	0.6536406145624583	0.8038669932457508	0.9834715472051636	16
Gammaproteobacteria	1394	0.6800736367675998	0.8656827270996001	0.9908875814556539	16
Actinobacteria	1540	0.9320330287613361	0.9790323751916925	0.9966765327540583	17
Firmicutes	1877	0.9079172225287709	0.9647164346597192	0.964911206076636	17
Bacteroidetes	867	0.9628642301435175	0.9909637098722679	0.9957942134235259	17
Proteobacteria	3201	0.8648783470648815	0.9168400989815768	0.985411737033594	17
Alphaproteobacteria	974	0.6945006747638327	0.8306764507422402	0.9890825349686205	17
Betaproteobacteria	520	0.7387878787878788	0.7867878787878788	0.9778652033169193	17
Gammaproteobacteria	1406	0.7873733629849271	0.8348159130219915	0.9872533604910138	17
Actinobacteria	1531	0.8958824308221899	0.9615693543404388	0.9934927112729666	18
Firmicutes	1852	0.9098326811820342	0.9684746861271815	0.9696837108630676	18
Bacteroidetes	866	0.9611835394619406	0.9897878681626929	0.995736034055902	18
Proteobacteria	3224	0.8265552847650394	0.9046581994728058	0.9837505895349857	18
Alphaproteobacteria	993	0.5863588667366212	0.7785545645330535	0.9868434422223487	18
Betaproteobacteria	517	0.641005291005291	0.7928193499622072	0.9787272419842961	18
Gammaproteobacteria	1402	0.6720092885899264	0.8223430972904071	0.9864094793576712	18
Actinobacteria	1542	0.9399020141535112	0.9776505171475232	0.9963354012167751	19
Firmicutes	1862	0.8990833952660857	0.9667216653213331	0.9673659465422177	19
Bacteroidetes	885	0.9663952745849298	0.996871769141884	0.9990697314498513	19
Proteobacteria	3181	0.8500811345393094	0.9172841773245766	0.9858597265031026	19
Alphaproteobacteria	958	0.6869989165763815	0.7965330444203684	0.9864789770947098	19
Betaproteobacteria	514	0.6909863945578232	0.7736819727891155	0.9805654608462785	19
Gammaproteobacteria	1402	0.7166974548440066	0.8508441091954023	0.9888020239122246	19
Actinobacteria	1527	0.8816679491079578	0.9737912245226634	0.9958793495248521	20
Firmicutes	1870	0.887252809788021	0.9700661603816069	0.9704358370010292	20
Bacteroidetes	881	0.978312762887231	0.9906204906204906	0.9953986797342176	20
Proteobacteria	3195	0.8416491627522975	0.9110381683339488	0.9855301813053652	20
Alphaproteobacteria	963	0.6303502460187291	0.7745225120364001	0.9832576056860639	20
Betaproteobacteria	515	0.6595383570943653	0.8527664630006789	0.9897619622982399	20
Gammaproteobacteria	1412	0.7472907360652554	0.8440927040849356	0.9891099028470058	20
Actinobacteria	1530	0.942140118508191	0.977068622008787	0.9960693912719306	21
Firmicutes	1878	0.8899980426697984	0.967124425616792	0.9695119233970027	21
Bacteroidetes	870	0.9644459407615036	0.9922917922659548	0.99650613098232	21
Proteobacteria	3205	0.8515262515262516	0.9198461538461539	0.9867498604613768	21
Alphaproteobacteria	989	0.6904949282966072	0.8119680540981695	0.9867519035656811	21
Betaproteobacteria	522	0.7181351582549187	0.7949814656401484	0.98398952381677	21
Gammaproteobacteria	1405	0.7609665427509293	0.8553035935563815	0.9893260300204334	21
Actinobacteria	1516	0.9023293172690763	0.9755198572066042	0.996418795215324	22
Firmicutes	1861	0.9078215009949328	0.9695744109950751	0.9722115355995455	22
Bacteroidetes	874	0.9576639166304819	0.9929478630357919	0.9974659746280403	22
Proteobacteria	3221	0.8128124088747655	0.9247991513729343	0.9872590009158108	22
Alphaproteobacteria	983	0.5468114731272626	0.8487468671679198	0.9885725921657272	22
Betaproteobacteria	524	0.6441240032789328	0.8335196363365377	0.9851757169536779	22
Gammaproteobacteria	1407	0.6377263460846624	0.862615421513371	0.9892307716805451	22
Actinobacteria	1524	0.8752826276005083	0.9756193279372086	0.9960189831160462	23
Firmicutes	1875	0.86777569033854	0.9698319481273953	0.9711773952942433	23
Bacteroidetes	862	0.9721396250808017	0.9914915966386555	0.9960730750092652	23
