Gid	stats
Cyan8	0
Cyan2	0
Cyan1	0
Marg1	0
Marg6	0
Marg2	0
Marg7	0
Therd1	0
Dict1	0
Arma4	0
Arma14	0
Arma12	0
Arma7	0
Arma11	0
Arma6	1
Arma15	1
Arma13	1
Arma9	0
Arma16	0
Arma3	0
UBP13X1	0
Erem6	1
Erem4	1
Erem5	1
Erem3	1
Erem2	0
CSP1X1	0
Pate48	0
Pate51	0
Pate27	1
Pate53	0
Pate33	0
Pate49	0
Pate41	1
Pate1	0
Pate50	0
Pate56	0
Pate30	1
Pate40	0
Pate55	0
Pate24	0
Pate39	0
Pate54	0
Pate31	0
Pate13	0
Pate34	0
Pate6	0
Pate14	0
Pate35	0
Pate5	0
Pate7	0
Pate43	1
Pate57	1
Pate44	1
Pate10	0
Pate52	0
Pate3	0
Pate22	0
Pate45	0
Pate11	0
Pate21	0
Pate15	1
Pate29	1
Pate26	0
Pate12	0
Pate46	0
Pate25	0
Pate28	0
Pate17	0
Pate8	0
Pate18	0
Pate38	1
Pate9	0
Pate36	0
Pate19	0
Pate37	0
Pate4	0
Pate32	0
Pate23	0
Chlo30	0
Chlo37	0
Chlo20	0
Chlo23	0
Chlo36	1
Chlo40	1
Chlo13	1
Chlo5	0
Chlo16	0
Chlo14	1
Chlo28	0
Chlo33	1
Chlo8	1
Chlo6	0
Chlo18	0
Chlo26	0
Chlo11	0
Chlo9	0
Chlo43	1
Chlo42	1
Chlo34	1
Chlo47	1
Chlo48	1
Chlo10	1
Chlo45	1
Chlo46	1
Chlo27	1
Chlo41	0
Chlo39	0
Chlo7	0
Chlo15	0
Chlo44	1
Chlo17	0
Chlo22	0
Chlo32	1
Chlo29	0
Chlo4	0
Chlo35	0
Chlo21	0
Chlo12	1
Chlo24	0
Chlo38	1
Chlo19	1
Chlo31	1
Chlo25	1
Dorm2	1
Dorm1	1
Dorm5	1
Dorm4	1
Dorm3	0
Acti50	1
Acti28	1
Acti47	1
Acti45	1
Acti52	1
Acti44	1
Acti12	1
Acti21	1
Acti48	1
Acti37	1
Acti46	1
Acti41	1
Acti43	1
Acti36	1
Acti14	1
Acti6	1
Acti34	1
Acti33	1
Acti35	1
Acti18	1
Acti16	1
Acti4	1
Acti10	1
Acti3	1
Acti7	1
Acti31	1
Acti25	1
Acti11	1
Acti22	0
Acti26	1
Acti39	0
Acti19	0
Acti23	0
Acti13	1
Acti49	1
Acti32	1
Acti38	1
Acti15	1
Acti40	1
Acti8	0
Acti24	0
Acti5	0
Acti2	0
Acti42	1
Acti51	0
Acti27	0
Acti9	0
Acti29	0
Acti30	0
Acti20	0
FirmF1	0
FirmF2	0
FirmF3	0
FirmG6	0
FirmG3	0
FirmG4	0
FirmG5	0
FirmG1	0
FirmG2	0
FirmE5	1
FirmE3	0
FirmE4	0
FirmE6	0
FirmE7	1
FirmE8	1
FirmE2	0
FirmE1	0
FirmA85	0
FirmA60	0
FirmA74	0
DTU0X1	0
SLNR1	0
FirmC13	0
FirmC17	0
FirmC10	0
FirmC14	0
FirmC18	0
FirmC19	0
FirmC8	0
FirmC15	0
FirmC12	0
FirmC7	0
FirmC11	0
FirmC3	0
FirmC6	0
FirmC16	0
FirmC1	0
FirmC4	0
FirmC9	0
FirmC5	0
FirmB8	0
FirmB5	0
FirmB16	0
FirmB13	0
FirmB4	0
FirmB17	0
FirmB15	0
FirmB1	0
FirmB3	0
FirmB14	0
FirmB9	0
FirmB10	0
FirmB2	0
FirmB11	0
FirmB12	0
FirmB6	0
FirmB7	0
Firms33	0
Firms23	1
Firms18	0
Firms32	0
Firms25	0
Firms2	0
Firms28	0
Firms9	1
Firms30	1
Firms31	1
Firms20	1
Firms29	1
Firms12	1
Firms21	1
Firms16	1
Firms15	1
Firms5	1
Firms7	1
Firms11	1
Firms17	1
Firms22	1
Firms27	1
Firms3	0
Firms13	0
Firms1	1
Firms10	1
Firms6	0
Firms8	1
Firms24	1
Firms26	1
Firms4	1
FirmD1	0
FirmD4	0
FirmD2	0
FirmD3	0
FirmA83	0
FirmA49	0
FirmA86	0
FirmA61	0
FirmA66	0
FirmA55	0
FirmA29	0
FirmA51	0
FirmA65	0
FirmA5	0
FirmA97	0
FirmA64	0
FirmA33	0
FirmA69	0
FirmA72	0
FirmA73	0
FirmA28	0
FirmA94	0
FirmA75	0
FirmA59	0
FirmA48	0
FirmA36	0
FirmA44	0
FirmA81	0
FirmA19	0
FirmA14	0
FirmA113	0
FirmA92	0
