Gid	stats
FirmA58	0
FirmA43	0
FirmA39	0
FirmA104	0
FirmA78	0
FirmA96	0
FirmA91	0
FirmA27	0
FirmA71	0
FirmA89	0
FirmA110	0
FirmA105	0
FirmA68	0
FirmA31	0
FirmA53	0
FirmA35	0
FirmA80	1
FirmA34	0
FirmA21	1
FirmA47	1
FirmA108	0
FirmA88	0
FirmA101	0
