trait	alpha	aic	logLik	GBDT40	Dstats
K05349	11.4374713493512	7059.45182608166	-3527.72591304083	No	0.001
K03327	6.6965630667801	3321.7155264614	-1658.8577632307	No	0.253
K01791	16.7959106548661	9117.64321248422	-4556.82160624211	No	0.0
K02851	4.72782680731715	4774.3484214153	-2385.17421070765	No	0.968
K01867	8.88786179316581	861.641154083282	-428.820577041641	No	0.0
K05825	7.34826378954914	5116.67426664908	-2556.33713332454	No	0.571
K00760	1.54948675806683	1763.91003195026	-879.955015975128	No	0.998
K04075	3.49755373869068	2064.18776519329	-1030.09388259664	No	0.0
K22927	0.705377948475299	519.555630219471	-257.777815109735	No	1.0
K02503	3.96511543219384	1591.29545276292	-793.647726381458	No	0.014
K01872	4.98602165612351	1318.52357346608	-657.261786733038	No	0.0
K07030	1.20974045754312	1563.97996820782	-779.989984103912	No	1.0
K03216	2.03339776238929	2238.31409589322	-1117.15704794661	No	1.0
K07391	2.40223581058507	2790.94231605765	-1393.47115802882	No	0.969
K00868	5.95454932817337	4108.72473608794	-2052.36236804397	No	0.953
K06183	4.16782727073376	3252.00655294406	-1624.00327647203	No	0.999
K05808	1.5314565690358	1997.91636133871	-996.958180669353	No	1.0
K01868	5.15193944983003	935.757473024417	-465.878736512208	No	0.0
K09775	3.21154767400451	1536.01404220368	-766.007021101841	No	0.999
K03602	4.2802323367662	1857.88983959738	-926.944919798689	No	0.945
K03601	5.55021022039761	2437.86361580064	-1216.93180790032	No	0.657
K03625	0.579275678158948	1109.51260592778	-552.756302963891	No	0.264
K19137	21.9077590765226	1409.22930206968	-702.614651034839	No	0.0
K09951	24.7201623745281	9902.72737463566	-4949.36368731783	No	0.0
K09952	27.5537075852652	5131.46132667655	-2563.73066333828	No	0.0
K01267	4.2608600196734	2080.35217353564	-1038.17608676782	No	0.999
K20265	12.9250252748847	4309.2121459001	-2152.60607295005	No	0.074
K01051	19.2865070166855	3927.25839780966	-1961.62919890483	No	0.001
K01740	9.25595542665005	6317.29671784923	-3156.64835892461	No	0.011
K00147	3.35794138583216	3708.1737882486	-1852.0868941243	No	0.906
K03424	2.96009078342645	800.248542122648	-398.124271061324	No	0.001
K01142	3.88452871856825	2607.33129373413	-1301.66564686706	No	0.786
K01151	2.45734019561067	2577.8004972948	-1286.9002486474	No	1.0
K07015	0.841366380515065	661.877828780196	-328.938914390098	No	1.0
K02970	1.04467939534897	1844.78270110549	-920.391350552743	No	1.0
K01154	149.550280852667	12032.4934748795	-6014.24673743977	No	0.0
K03427	149.906897455911	11619.4974775921	-5807.74873879606	No	0.0
K01951	1.29286725551841	1060.33165455404	-528.165827277022	No	0.104
K00764	4.08659361721933	1832.69795213568	-914.34897606784	No	0.293
K01923	2.97968076008607	2012.06220736297	-1004.03110368149	No	0.214
K07114	8.6507550992045	6745.0988212829	-3370.54941064145	No	0.04
K06400	17.6191588027143	8346.81765333733	-4171.40882666866	No	0.0
K03169	4.12469634380934	4352.89368610834	-2174.44684305417	No	0.987
K00571	9.65813473461286	7708.5603440089	-3852.28017200445	No	0.0
K02316	9.85491747575044	1391.70332974412	-693.851664872059	No	0.0
K07727	20.5635674104897	9689.07142811597	-4842.53571405799	No	0.0
K02315	4.73939903785698	4507.22222630993	-2251.61111315497	No	0.232
K00820	3.26289639095383	1712.73076505581	-854.365382527906	No	0.331
K04485	0.63951007706469	1266.46228471406	-631.231142357028	No	0.924
K07736	1.85336893504868	2230.4484301991	-1113.22421509955	No	1.0
K00991	5.79954822459905	5341.68098519819	-2668.84049259909	No	0.789
K03284	6.66536106076483	5307.0746136115	-2651.53730680575	No	0.138
K06199	5.56173364631752	4411.41426110769	-2203.70713055384	No	0.34
K01770	3.87602310557346	3463.17082891239	-1729.5854144562	No	1.0
K06933	6.3426974822688	2401.03899028886	-1198.51949514443	No	0.675
K09779	5.60806605109501	2664.72947440011	-1330.36473720005	No	0.883
K01689	8.87440304172294	1058.73581062344	-527.367905311721	No	0.0
K02357	2.63578956623835	1296.81322272579	-646.406611362895	No	0.031
K02967	1.21703327321499	978.517547461943	-487.258773730971	No	0.308
